sale_date_previous,sale_date_projected,sale_time,file_number,property_address,place_of_sale,loan_date,trustor,county,original_loan_amount,file_status,opening_bid_amount,max_bid_amount,sale_notation
,11/14/2025,01:30 PM,125686-CA,"9 St Francis Cir, Napa CA, 94558","AT THE FOUNTAIN TO THE RIGHT OF THE NAPA COUNTY SUPERIOR COURT LOCATED AT 1111 THIRD STREET, NAPA, CA 94559",,,,,,,,From 09/12/2025 to 11/14/2025
,11/14/2025,09:00 AM,128048-CA,"5346 Glenwood Way, Richmond CA, 94803","At the Auction.com Room, Pleasant Hill Community Center, 320 Civic Drive, Pleasant Hill, CA 94523",,,,,,,,From 09/05/2025 to 11/14/2025
,11/13/2025,09:00 AM,136782-CA,"517 S Wilton Pl, Los Angeles CA, 90020","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,11/13/2025,09:00 AM,135968-CA,"3633 Casamia Avenue, Palmdale CA, 93550","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,11/13/2025,01:30 PM,136493-CA,"5201 Sky Pkwy, Sacramento CA, 95823","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,
,11/13/2025,09:00 AM,125910-CA,"3243 Madeline Street, Oakland CA, 94602","at the Fallon Street Steps Alameda County Courthouse, 1225 Fallon Street, Oakland, CA 94612",,,,,,,,From 09/18/2025 to 11/13/2025
,11/13/2025,09:00 AM,126295-CA,"1839 Dwight Way, Berkeley CA, 94703","at the Fallon Street Steps Alameda County Courthouse, 1225 Fallon Street, Oakland, CA 94612",,,,,,,,From 10/02/2025 to 11/13/2025
,11/13/2025,09:00 AM,117077-CA,"4384 W Ave M-11, Lancaster CA, 93536","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 11/13/2025
,11/13/2025,01:30 PM,129703-CA,"1696 8Th Ave, San Francisco CA, 94122","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,From 10/09/2025 to 11/13/2025
,11/13/2025,09:00 AM,130099-CA,"11581 Arroyo Ave, Santa Ana CA, 92705","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,From 09/11/2025 to 11/13/2025
,11/13/2025,01:30 PM,131217-CA,"2821 SEDGE CT, ELK GROVE CA, 95757","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 09/11/2025 to 11/13/2025
,11/13/2025,09:00 AM,105689-CA,"57 W Arbor St, Long Beach CA, 90805","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/04/2025 to 11/13/2025
,11/13/2025,12:00 PM,127039-CA,"24540 Eden Ave, Hayward CA, 94545","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,From 10/09/2025 to 11/13/2025
,11/13/2025,09:00 AM,127673-CA,"11516 S St Andrews Pl, Los Angeles CA, 90047","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/04/2025 to 11/13/2025
,11/13/2025,09:00 AM,126445-CA,"1438 Hillside Drive, Glendale CA, 91208","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 11/13/2025
,11/13/2025,01:30 PM,130468-CA,"105 Kent St, Galt CA, 95632","At the main entrance to the County Courthouse, 720 9th Street, Sacramento, CA 95814",,,,,,,,
,11/13/2025,11:00 AM,118964-CA,"936 Cooper Road, Oxnard CA, 93030","AT THE MAIN FRONT ENTRANCE TO THE COUNTY GOVERNMENT CENTER HALL OF JUSTICE LOCATED AT 800 S. VICTORIA AVE., VENTURA, CA 93003",,,,,,,,
,11/13/2025,09:00 AM,116468-CA,"8362 Acacia Avenue, Garden Grove CA, 92841","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,
,11/13/2025,09:00 AM,132115-CA,"41120 Indigo Way, Palmdale CA, 93551","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,11/13/2025,09:00 AM,126251-CA,"6044 W Avenue K2, Lancaster CA, 93536","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,11/12/2025,03:30 PM,110402-CA,"475 1/2 E 8Th Ave, Chico CA, 95926","Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965",,,,,,,,From 09/10/2025 to 11/12/2025
,11/12/2025,10:30 AM,118328-CA,"415 Cortez Road, Arcadia CA, 91007","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/10/2025 to 11/12/2025
,11/12/2025,10:30 AM,134185-CA,"2653 End Ct, Lancaster CA, 93536","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/03/2025 to 11/12/2025
,11/12/2025,01:00 PM,134304-CA,"7702 Cassia Ave, Riverside CA, 92504","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,From 10/15/2025 to 11/12/2025
,11/12/2025,01:00 PM,134309-CA,"1008 F St, Livingston CA, 95334","WEST ENTRANCE, OLD MERCED COUNTY COURTHOUSE, 627 W. 21ST STREET, MERCED, CA 95340",,,,,,,,From 09/03/2025 to 11/12/2025
,11/12/2025,01:00 PM,130480-CA,"3735 Verde St, Riverside CA, 92504","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,From 09/03/2025 to 11/12/2025
,11/12/2025,01:00 PM,132142-CA,"12837 Luna St, Eastvale CA, 92880","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,From 09/17/2025 to 11/12/2025
,11/12/2025,10:30 AM,102039-CA,"5327 Karling Place, Palmdale CA, 93552","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,11/12/2025,09:30 AM,136770-CA,"973 Vernon Berry Lane, Tracy CA, 95376","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,11/12/2025,01:00 PM,132680-CA,"35610 Denver Cir, Winchester CA, 92596","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,11/12/2025,10:30 AM,136799-CA,"8839 Collett Avenue, North Hills CA, 91343","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,11/12/2025,03:00 PM,135404-CA,"1621 Watercress Ct, Los Banos CA, 93635","AT THE WEST 21ST STREET ENTRANCE TO THE MERCED COUNTY COURTS BUILDING, 627 21ST STREET, MERCED, CA 95340",,,,,,,,
,11/12/2025,10:30 AM,124020-CA,"44302 4Th Street E, Lancaster CA, 93535","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,11/12/2025,11:00 AM,136269-CA,"3801 Mary Ann Lane, Lake Almanor&Westwood CA, 96137","OUTSIDE THE ENTRANCE TO THE COUNTY COURTHOUSE, 520 MAIN STREET, QUINCY, CA 95971",,,,,,,,
,11/10/2025,09:00 AM,126651-CA,"606 E Elm St, Brea CA, 92821","Auction.com Room, Hotel Fera Anaheim, a DoubleTree by Hilton – 100 The City Drive, Orange, CA 92868",,,,,,,,From 09/29/2025 to 11/10/2025
,11/12/2025,10:30 AM,098661-CA,"3560 Fairmeade Rd, Pasadena CA, 91107","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/10/2025 to 11/12/2025
,11/10/2025,10:30 AM,133197-CA,"44481 Calexico Ave, Jacumba CA, 91934","AT THE MAIN ENTRANCE TO THE EAST COUNTY REGIONAL CENTER BY STATUE, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/08/2025 to 11/10/2025
,11/12/2025,01:30 PM,086988-CA,"3111 11Th St, San Pablo CA, 94806","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,From 09/10/2025 to 11/12/2025
,11/07/2025,10:30 AM,136058-CA,"5494 E International Ave, Clovis CA, 93619","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
,11/07/2025,10:30 AM,136521-CA,"7684 N Gilroy Ave, Fresno CA, 93722","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
,11/10/2025,01:00 PM,133923-CA,"123 Washburn St, Patterson CA, 95363","AT THE ""I"" STREET SIDE OF THE COUNTY COURTHOUSE BUILDING, 1100 ""I"" STREET, MODESTO, CA 95354",,,,,,,,
,11/07/2025,10:30 AM,133724-CA,"2164 10 Th Avenue, Kingsburg CA, 93631","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
,11/06/2025,09:00 AM,123382-CA,"32 Poinsettia Grdns Dr, Ventura CA, 93004","Auction.com Room, Four Points by Sheraton Ventura Harbor Resort, 1050 Schooner Drive, Ventura, CA 93001",,,,,,,,From 08/28/2025 to 11/06/2025
,11/06/2025,09:00 AM,126079-CA,"10 Kingsport Dr, Newport Coast CA, 92657","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,From 09/25/2025 to 11/06/2025
,11/06/2025,11:00 AM,122870-CA,"1731 Schoolhouse Cir, Westlake Village CA, 91362","AT THE MAIN FRONT ENTRANCE TO THE COUNTY GOVERNMENT CENTER HALL OF JUSTICE LOCATED AT 800 S. VICTORIA AVE., VENTURA, CA 93003",,,,,,,,From 09/04/2025 to 11/06/2025
,11/06/2025,01:30 PM,128421-CA,"8817 Amberjack Way, Sacramento CA, 95828","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 10/02/2025 to 11/06/2025
,11/06/2025,09:00 AM,134518-CA,"16152 Easy St, Lathrop CA, 95330","EAST WEBER AVENUE ENTRANCE, SAN JOAQUIN COUNTY COURTHOUSE, 222 E. WEBER AVENUE, STOCKTON, CA 95202",,,,,,,,From 08/28/2025 to 11/06/2025
,11/06/2025,02:00 PM,132180-CA,"460 -125 Ponderosa Blvd, Janesville CA, 91114","OUTSIDE THE MAIN ENTRANCE TO THE LASSEN COUNTY COURTHOUSE, 220 S. LASSEN ST., SUSANVILLE, CA 96130",,,,,,,,
,11/06/2025,09:00 AM,132035-CA,"1018 Goldenoak Way, Stockton CA, 95209","EAST WEBER AVENUE ENTRANCE, SAN JOAQUIN COUNTY COURTHOUSE, 222 E. WEBER AVENUE, STOCKTON, CA 95202",,,,,,,,
,11/05/2025,10:30 AM,136127-CA,"14827 Hartsook Street, Sherman Oaks & Los Angele CA, 91403","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,11/05/2025,01:30 PM,136720-CA,"3091 Erla Way, Richmond CA, 94806","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,
,11/06/2025,12:45 PM,134808-CA,"624 Bowlen Drive, West Sacramento CA, 95605","OUTSIDE THE REAR (NORTH) ENTRANCE TO THE CITY HALL 1110 WEST CAPITOL AVENUE, WEST SACRAMENTO, CA 95691",,,,,,,,
,11/05/2025,10:30 AM,136645-CA,"3176 Armourdale Ave, Long Beach CA, 90808","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,11/05/2025,10:00 AM,130286-CA,"4135 Fanuel St, San Diego CA, 92109","At the entrance to the East County Regional Center by the statue, 250 E. Main St., El Cajon, CA 92020",,,,,,,,From 09/17/2025 to 11/05/2025
,11/05/2025,03:30 PM,130461-CA,"19 Westminster Court, Chico CA, 95928","Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965",,,,,,,,From 08/06/2025 to 11/05/2025
,11/05/2025,09:00 AM,129893-CA,"34618 Boros Blvd, Beaumont CA, 92223","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 10/01/2025 to 11/05/2025
,11/05/2025,01:00 PM,131854-CA,"609 Barcelona Dr, Millbrae CA, 94030","MARSHALL ST. ENTRANCE, SAN MATEO COUNTY COURTHOUSE, SOUTHERN BRANCH HALL OF JUSTICE & RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063",,,,,,,,From 08/27/2025 to 11/05/2025
,11/05/2025,10:00 AM,128818-CA,"5387 Silver Trl Ct, San Jose CA, 95138","AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,From 09/03/2025 to 11/05/2025
,11/05/2025,11:00 AM,134597-CA,"1313 Brookside Dr, Orland CA, 95963","IN THE LOBBY OF TIMIOS TITLE, 250 W. SYCAMORE STREET, WILLOWS, CA 95988",,,,,,,,From 09/03/2025 to 11/05/2025
,11/05/2025,10:00 AM,134584-CA,"3946 Louis Rd, Palo Alto CA, 94303","AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,From 09/17/2025 to 11/05/2025
,11/05/2025,10:30 AM,135718-CA,"1546 West 105Th Street, Los Angeles CA, 90047","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/17/2025 to 11/05/2025
,11/05/2025,10:30 AM,135720-CA,"5209 La Madera Ave, El Monte CA, 91732","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/17/2025 to 11/05/2025
,11/05/2025,01:30 PM,135196-CA,"319 S Overlook Dr, San Ramon CA, 94582","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,From 09/17/2025 to 11/05/2025
,11/05/2025,09:00 AM,132121-CA,"1284 N River View Ave, Reedley CA, 93654","WEST ENTRANCE TO THE COUNTY COURTHOUSE BREEZEWAY, FRESNO SUPERIOR COURTHOUSE, 1100 VAN NESS AVENUE, FRESNO, CA 93724",,,,,,,,
,11/05/2025,01:00 PM,135418-CA,"215 Cerrito Ave, Redwood City CA, 94061","OUTSIDE THE MARSHALL ST. ENTRANCE TO THE HALL OF JUSTICE AND RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063",,,,,,,,
,11/05/2025,10:30 AM,122386-CA,"4419- 4421 S Wilton Place, Los Angeles CA, 90062","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 10/01/2025 to 11/05/2025
,11/05/2025,01:00 PM,119314-CA,"116 City View Dr, Daly City CA, 94014","OUTSIDE THE MARSHALL ST. ENTRANCE TO THE HALL OF JUSTICE AND RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063",,,,,,,,From 10/01/2025 to 11/05/2025
,11/04/2025,01:00 PM,134209-CA,"140 CA-173, LAKE ARROWHEAD CA, 92352","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,From 09/16/2025 to 11/04/2025
,11/04/2025,12:00 PM,136328-CA,"2471 Quiver Dr, Ione CA, 95640","AT THE MAIN ENTRANCE TO THE AMADOR COUNTY SUPERIOR COURT, 500 ARGONAUT LN., JACKSON, CA 95642",,,,,,,,
,11/05/2025,10:30 AM,056288-CA,"9431 EAGLE SPRINGS COURT, ROSEVILLE CA, 95747","In front of the Council Chamber entrance at 311 Vernon Street, Roseville, CA 95678",,,,,,,,
,11/05/2025,10:00 AM,108678-CA,"135E Younger Avenue, San Jose CA, 95112","AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,
,11/03/2025,09:00 AM,126630-CA,"20765 Peterson Ln, Fort Bragg CA, 95437","Main entrance, Mendocino County Courthouse, 100 N. State St., Ukiah, CA 95482",,,,,,,,From 08/25/2025 to 11/03/2025
,11/04/2025,09:00 AM,127676-CA,"231 Ammon Road, Hawkins Bar CA, 95527","AT THE COURT STREET ENTRANCE OF THE SUPERIOR COURT OF TRINITY COUNTY, 11 COURT STREET, WEAVERVILLE, CA 96093",,,,,,,,From 09/23/2025 to 11/04/2025
,11/03/2025,10:30 AM,127125-CA,"9604 Paseo Montril, San Diego CA, 92129","AT THE MAIN ENTRANCE TO THE EAST COUNTY REGIONAL CENTER BY STATUE, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/29/2025 to 11/03/2025
,11/04/2025,10:30 AM,129750-CA,"1431 W 90Th Place, Los Angeles CA, 90047","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/23/2025 to 11/04/2025
,11/03/2025,10:30 AM,129816-CA,"9359 Leticia Dr, Santee CA, 92071","AT THE MAIN ENTRANCE TO THE EAST COUNTY REGIONAL CENTER BY STATUE, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/29/2025 to 11/03/2025
,11/04/2025,10:00 AM,131201-CA,"1580 Ancon St, Seaside CA, 93955","OUTSIDE THE MAIN ENTRANCE OF THE MONTEREY COUNTY ADMINISTRATION BUILDING LOCATED AT 168 WEST ALISAL STREET, SALINAS, CA 93901",,,,,,,,From 09/30/2025 to 11/04/2025
,11/03/2025,10:00 AM,115191-CA,"4365 Walnut Dr, Eureka CA, 95503","IN THE FRONT ENTRANCE OF THE HUMBOLDT COUNTY COURTHOUSE, 825 5TH STREET, EUREKA, CA 95501",,,,,,,,From 09/08/2025 to 11/03/2025
,11/03/2025,10:00 AM,133008-CA,"1801 Los Robles Drive, Bakersfield CA, 93306","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,From 08/25/2025 to 11/03/2025
,11/04/2025,10:00 AM,130530-CA,"37901 Rosemarie St, Palmdale CA, 93550","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 09/30/2025 to 11/04/2025
,11/04/2025,01:00 PM,131640-CA,"9830 PONDEROSA RD, PIÑON HILLS CA, 92372","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,
,10/31/2025,09:00 AM,125114-CA,"14651 Puma Trail, Valley Center CA, 92082","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/19/2025 to 10/31/2025
